日期,城市,租用中用户数,渠道在租用户数,直客在租用户数,企业包在租用户数,寄存用户数,新增用户数,新增渠道用户数,新增直客用户数,新增企业包用户数,退租用户数,渠道退租用户数,直客退租用户数,企业包退租用户数,,,
2026-01-21,上海市,2,0,2,0,1,0,0,0,0,1,0,0,1,,,
2026-01-21,南京市,5209,1564,2016,1629,204,24,10,8,6,48,10,16,22,,,
2026-01-21,南通市,847,297,477,73,45,4,2,1,1,24,16,6,2,,,
2026-01-21,台州市,179,47,32,100,4,2,2,0,0,2,0,1,1,,,
2026-01-21,合肥市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-21,宁波市,3913,1642,1674,597,200,19,9,4,6,33,16,9,8,,,
2026-01-21,常州市,2203,770,1140,293,152,0,0,0,0,11,5,2,4,,,
2026-01-21,徐州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-21,无锡市,855,399,413,43,104,12,11,1,0,17,11,5,1,,,
2026-01-21,杭州市,6,6,0,0,0,6,6,0,0,0,0,0,0,,,
2026-01-21,武汉市,2463,1493,943,27,162,8,8,0,0,24,20,4,0,,,
2026-01-21,温州市,1439,691,316,432,51,12,10,1,1,20,12,3,5,,,
2026-01-21,芜湖市,414,110,299,5,29,1,0,0,1,1,1,0,0,,,
2026-01-21,苏州市,8399,1984,4761,1654,528,26,16,8,2,82,30,39,13,,,
2026-01-21,鄂州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-21,金华市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-21,青岛市,508,477,28,3,32,1,1,0,0,9,8,1,0,,,
2026-01-22,上海市,2,0,2,0,1,0,0,0,0,0,0,0,0,,,
2026-01-22,南京市,5202,1569,2009,1624,206,24,14,6,4,51,14,16,21,,,
2026-01-22,南通市,845,297,477,71,45,3,2,0,1,7,2,2,3,,,
2026-01-22,台州市,179,50,32,97,3,2,2,0,0,2,1,0,1,,,
2026-01-22,合肥市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-22,宁波市,3894,1630,1667,597,200,12,6,3,3,42,21,10,11,,,
2026-01-22,常州市,2192,764,1132,296,147,3,1,1,1,12,4,7,1,,,
2026-01-22,徐州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-22,无锡市,849,397,410,42,101,5,5,0,0,11,6,4,1,,,
2026-01-22,杭州市,12,10,2,0,0,6,4,2,0,0,0,0,0,,,
2026-01-22,武汉市,2454,1488,939,27,167,14,14,0,0,36,30,5,1,,,
2026-01-22,温州市,1437,693,318,426,54,10,7,1,2,34,12,2,20,,,
2026-01-22,芜湖市,412,111,296,5,28,0,0,0,0,3,0,3,0,,,
2026-01-22,苏州市,8378,1968,4759,1651,538,24,15,8,1,73,38,22,13,,,
2026-01-22,鄂州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-22,金华市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-22,青岛市,504,473,27,4,31,9,8,0,1,12,12,0,0,,,
2026-01-23,上海市,2,0,2,0,1,0,0,0,0,0,0,0,0,,,
2026-01-23,南京市,5191,1571,2000,1620,201,17,11,3,3,50,11,18,21,,,
