日期,城市,用户目标,换电柜目标,电池目标,电池配比目标,柜效目标
2025-09-01,南京市,7600,400,9860,1.30,19.00
2025-09-01,南通市,1300,120,2850,2.19,10.83
2025-09-01,宁波市,5500,447,9715,1.77,12.30
2025-09-01,常州市,3000,204,4785,1.60,14.71
2025-09-01,无锡市,1300,200,4785,3.68,6.50
2025-09-01,武汉市,3000,350,8120,2.71,8.57
2025-09-01,温州市,2000,180,4350,2.18,11.11
2025-09-01,芜湖市,550,57,1200,2.18,9.65
2025-09-01,苏州市,11500,829,20445,1.78,13.87
2025-09-02,南京市,7600,400,9860,1.30,19.00
2025-09-02,南通市,1300,120,2850,2.19,10.83
2025-09-02,宁波市,5500,447,9715,1.77,12.30
2025-09-02,常州市,3000,204,4785,1.60,14.71
2025-09-02,无锡市,1300,200,4785,3.68,6.50
2025-09-02,武汉市,3000,350,8120,2.71,8.57
2025-09-02,温州市,2000,180,4350,2.18,11.11
2025-09-02,芜湖市,550,57,1200,2.18,9.65
2025-09-02,苏州市,11500,829,20445,1.78,13.87
2025-09-03,南京市,7600,400,9860,1.30,19.00
2025-09-03,南通市,1300,120,2850,2.19,10.83
2025-09-03,宁波市,5500,447,9715,1.77,12.30
2025-09-03,常州市,3000,204,4785,1.60,14.71
2025-09-03,无锡市,1300,200,4785,3.68,6.50
2025-09-03,武汉市,3000,350,8120,2.71,8.57
2025-09-03,温州市,2000,180,4350,2.18,11.11
2025-09-03,芜湖市,550,57,1200,2.18,9.65
2025-09-03,苏州市,11500,829,20445,1.78,13.87
2025-09-04,南京市,7600,400,9860,1.30,19.00
2025-09-04,南通市,1300,120,2850,2.19,10.83
2025-09-04,宁波市,5500,447,9715,1.77,12.30
2025-09-04,常州市,3000,204,4785,1.60,14.71
2025-09-04,无锡市,1300,200,4785,3.68,6.50
2025-09-04,武汉市,3000,350,8120,2.71,8.57
2025-09-04,温州市,2000,180,4350,2.18,11.11
2025-09-04,芜湖市,550,57,1200,2.18,9.65
2025-09-04,苏州市,11500,829,20445,1.78,13.87
2025-09-05,南京市,7600,400,9860,1.30,19.00
2025-09-05,南通市,1300,120,2850,2.19,10.83
2025-09-05,宁波市,5500,447,9715,1.77,12.30
2025-09-05,常州市,3000,204,4785,1.60,14.71
2025-09-05,无锡市,1300,200,4785,3.68,6.50
2025-09-05,武汉市,3000,350,8120,2.71,8.57
2025-09-05,温州市,2000,180,4350,2.18,11.11
2025-09-05,芜湖市,550,57,1200,2.18,9.65
2025-09-05,苏州市,11500,829,20445,1.78,13.87
2025-09-06,南京市,7600,400,9860,1.30,19.00
