日期,城市,总订单数,渠道订单数,直客订单数,企业包订单数,周卡订单数,渠道周卡订单数,直客周卡订单数,月卡订单数,渠道月卡订单数,直客月卡订单数,双月卡订单数,渠道双月卡订单数,直客双月卡订单数,季卡订单数,渠道季卡订单数,直客季卡订单数,半年卡订单数,渠道半年卡订单数,直客半年卡订单数,已收租金,已收押金,退款押金,退款租金
2023-04-19,苏州市,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,369,,,
2023-04-26,苏州市,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,369,,,
2023-04-28,苏州市,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,369,,,
2023-05-06,苏州市,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,369,,,
2023-05-12,苏州市,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,369,,,
2023-05-14,苏州市,2,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,738,,,
2023-05-18,苏州市,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,369,,,
2023-05-27,苏州市,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,369,,,
2023-05-28,苏州市,2,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,738,,,
2023-05-30,苏州市,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,369,,,
2023-06-01,苏州市,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,369,,,
2023-06-02,苏州市,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,369,,,
2023-06-03,苏州市,2,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,738,,,
2023-06-05,苏州市,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,369,1,,
2023-06-06,苏州市,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,369,,,
2023-06-07,苏州市,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,369,,,
2023-06-09,苏州市,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,369,,,
2023-06-10,苏州市,5,0,5,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,1845,,,
2023-06-11,苏州市,2,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,738,,,
2023-06-14,苏州市,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,369,,,
2023-06-15,苏州市,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,369,,,
2023-06-16,苏州市,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,369,,,
2023-06-18,苏州市,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,369,,,
2023-06-19,苏州市,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,369,,,
2023-06-20,苏州市,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,369,,,
2023-06-21,苏州市,2,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,738,,,
2023-06-22,苏州市,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,369,,,
2023-06-23,苏州市,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,369,,,
2023-06-24,苏州市,5,0,5,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,1845,,,
2023-06-25,苏州市,2,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,738,,,
2023-06-26,苏州市,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,369,,,
2023-06-27,苏州市,3,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1107,,,
2023-06-28,苏州市,2,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,738,,,
