年月,城市,下单用户数,周卡订单数,不含周卡客单价实收,周卡客单价实收,客单价实收,总下单用户数,不含周卡客单价,客单价
2023-04,苏州市,3,0,1107,0,1107,3,369,369
2023-05,苏州市,9,0,3321,0,3321,9,369,369
2023-06,苏州市,41,0,15129,0,15129,41,369,369
2023-07,芜湖市,26,0,7556,0,7556,26,290.615385,290.615385
2023-07,苏州市,68,0,25092,0,25092,68,369,369
2023-08,温州市,1,0,339,0,339,1,339,339
2023-08,芜湖市,73,0,22544,0,22544,73,308.821918,308.821918
2023-08,苏州市,116,0,42804,0,42804,116,369,369
2023-09,温州市,2,0,678,0,678,2,339,339
2023-09,芜湖市,88,0,24993.01,0,24993.01,88,284.011477,284.011477
2023-09,苏州市,106,0,39114,0,39114,106,369,369
2023-10,温州市,21,0,7458,0,7458,21,355.142857,355.142857
2023-10,芜湖市,134,0,38597.99,0,38597.99,134,288.044701,288.044701
2023-10,苏州市,109,1,40221,352,40573,110,369,368.845455
2023-11,常州市,115,0,31947.23,0,31947.23,115,277.802,277.802
2023-11,武汉市,6,1,0.06,436,436.06,7,0.01,62.294286
2023-11,温州市,50,0,16390,0,16390,50,327.8,327.8
2023-11,芜湖市,122,0,33228.33,0,33228.33,122,272.363361,272.363361
2023-11,苏州市,111,0,40959,0,40959,111,369,369
2023-12,常州市,323,0,95070.68,0,95070.68,323,294.336471,294.336471
2023-12,无锡市,33,0,7774.07,0,7774.07,33,235.577879,235.577879
2023-12,武汉市,189,6,47352.31,1971.04,49323.35,195,250.541323,252.940256
2023-12,温州市,62,0,21486,0,21486,62,346.548387,346.548387
2023-12,芜湖市,143,0,40639.66,0,40639.66,143,284.193427,284.193427
2023-12,苏州市,164,0,60516,0,60516,164,369,369
2024-01,常州市,400,0,125901.5,0,125901.5,400,314.75375,314.75375
2024-01,无锡市,160,0,47324.03,0,47324.03,160,295.775188,295.775188
2024-01,武汉市,351,31,86443.65,12644.08,99087.73,382,246.278205,259.391963
2024-01,温州市,63,0,21056,0,21056,63,334.222222,334.222222
2024-01,芜湖市,134,0,38432.33,0,38432.33,134,286.808433,286.808433
2024-01,苏州市,150,0,55350,0,55350,150,369,369
2024-02,南通市,8,0,2392,0,2392,8,299,299
2024-02,常州市,454,0,149769.08,0,149769.08,454,329.887841,329.887841
2024-02,徐州市,50,0,15172,0,15172,50,303.44,303.44
2024-02,无锡市,165,0,50809.02,0,50809.02,165,307.933455,307.933455
2024-02,武汉市,301,37,89522.78,16132,105654.78,338,297.417874,312.588107
2024-02,温州市,47,0,15733,0,15733,47,334.744681,334.744681
2024-02,芜湖市,111,0,31945.33,0,31945.33,111,287.795766,287.795766
2024-02,苏州市,157,0,57933,0,57933,157,369,369
2024-03,南通市,150,0,43694.7,0,43694.7,150,291.298,291.298
2024-03,合肥市,80,0,23691,0,23691,80,296.1375,296.1375
2024-03,宁波市,137,0,36005.73,0,36005.73,137,262.815547,262.815547
2024-03,常州市,848,0,269819.47,0,269819.47,848,318.183337,318.183337
2024-03,徐州市,50,0,15790,0,15790,50,315.8,315.8
2024-03,无锡市,353,0,108482.04,0,108482.04,353,307.314561,307.314561
2024-03,武汉市,1087,67,309269.56,29103,338372.56,1154,284.516615,293.217123
2024-03,温州市,71,0,23298,0,23298,71,328.140845,328.140845
2024-03,芜湖市,136,0,39853,0,39853,136,293.036765,293.036765
2024-03,苏州市,280,0,103320,0,103320,280,369,369
2024-04,南通市,231,0,71609.72,0,71609.72,231,309.998788,309.998788
2024-04,合肥市,212,0,62243,0,62243,212,293.599057,293.599057
2024-04,宁波市,979,0,282997.54,0,282997.54,979,289.067967,289.067967
2024-04,常州市,965,0,304698.1,0,304698.1,965,315.749326,315.749326
2024-04,徐州市,41,0,12880,0,12880,41,314.146341,314.146341
2024-04,无锡市,424,0,129899.69,0,129899.69,424,306.367193,306.367193
2024-04,武汉市,1444,72,409843.6,31143,440986.6,1516,283.825208,290.888259
2024-04,温州市,79,0,25629,0,25629,79,324.417722,324.417722
2024-04,芜湖市,150,0,45250,0,45250,150,301.666667,301.666667
2024-04,苏州市,320,0,118080,0,118080,320,369,369
2024-05,南通市,332,0,102290.02,0,102290.02,332,308.10247,308.10247
2024-05,合肥市,693,0,205309,0,205309,693,296.261183,296.261183
2024-05,宁波市,1813,0,547561.77,0,547561.77,1813,302.01973,302.01973
2024-05,常州市,1300,0,410932.09,0,410932.09,1300,316.101608,316.101608
2024-05,徐州市,44,0,12400,0,12400,44,281.818182,281.818182
2024-05,无锡市,557,0,171540.67,0,171540.67,557,307.972478,307.972478
2024-05,武汉市,2260,79,663139.97,34335,697474.97,2339,293.424765,298.19366
2024-05,温州市,100,0,33116,0,33116,100,331.16,331.16
2024-05,芜湖市,144,0,41736,0,41736,144,289.833333,289.833333
2024-05,苏州市,395,0,145755,0,145755,395,369,369
2024-05,金华市,22,0,1685.11,0,1685.11,22,76.595909,76.595909
2024-06,南通市,420,0,130403.41,0,130403.41,420,310.48431,310.48431
2024-06,合肥市,376,0,112957,0,112957,376,300.417553,300.417553
2024-06,宁波市,2197,0,671329.1,0,671329.1,2197,305.566272,305.566272
2024-06,常州市,1464,0,471497.44,0,471497.44,1464,322.061093,322.061093
2024-06,徐州市,108,0,32033,0,32033,108,296.601852,296.601852
2024-06,无锡市,746,0,228428.04,0,228428.04,746,306.203807,306.203807
2024-06,武汉市,2063,128,603140.98,55491,658631.98,2191,292.361115,300.607932
2024-06,温州市,107,0,33893,0,33893,107,316.757009,316.757009
2024-06,芜湖市,127,0,37463,0,37463,127,294.984252,294.984252
2024-06,苏州市,375,0,138375,0,138375,375,369,369
2024-06,金华市,69,0,18618.03,0,18618.03,69,269.826522,269.826522
2024-07,南通市,534,1,166189.42,436,166625.42,535,311.216142,311.449383
2024-07,合肥市,745,5,224115.01,1744.04,225859.05,750,300.825517,301.1454
2024-07,宁波市,3135,33,964269.85,8621.52,972891.37,3168,307.582089,307.099549
2024-07,常州市,1558,19,499444.12,4360.36,503804.48,1577,320.567471,319.470184
2024-07,徐州市,153,1,45391.81,0.04,45391.85,154,296.678497,294.752273
2024-07,无锡市,886,7,270951.02,3052,274003.02,893,305.813792,306.834289
2024-07,武汉市,2114,248,635959.81,105849.19,741809,2362,300.832455,314.059695
2024-07,温州市,189,2,58116,872,58988,191,307.492063,308.837696
2024-07,芜湖市,136,0,40613,0,40613,136,298.625,298.625
2024-07,苏州市,538,11,198522,4796,203318,549,369,370.342441
2024-07,金华市,198,2,57756.01,436.04,58192.05,200,291.69702,290.96025
2024-08,南京市,8,0,10.07,0,10.07,8,1.25875,1.25875
2024-08,南通市,662,7,209056.37,1744.12,210800.49,669,315.795121,315.097892
2024-08,合肥市,1054,18,309577.2,5668.2,315245.4,1072,293.716509,294.072201
2024-08,宁波市,3595,97,1124598.52,30957.04,1155555.56,3692,312.822954,312.989047
2024-08,常州市,1604,67,521038.46,20056.84,541095.3,1671,324.836945,323.81526
2024-08,徐州市,168,2,49337.64,0.08,49337.72,170,293.676429,290.221882
2024-08,无锡市,1016,13,308105.09,4360.12,312465.21,1029,303.253041,303.659096
2024-08,武汉市,1594,294,482196.92,118156.92,600353.84,1888,302.507478,317.984025
2024-08,温州市,198,4,62246,1308,63554,202,314.373737,314.623762
2024-08,芜湖市,117,1,36028,436,36464,118,307.931624,309.016949
2024-08,苏州市,489,10,180441,4360,184801,499,369,370.342685
2024-08,金华市,269,4,74826.13,1208.04,76034.17,273,278.164052,278.513443
2024-09,南京市,126,2,35388.11,436.04,35824.15,128,280.858016,279.876172
2024-09,南通市,616,9,198352.07,3488.04,201840.11,625,322.000114,322.944176
2024-09,合肥市,833,15,230641.84,6104.04,236745.88,848,276.88096,279.181462
2024-09,宁波市,3851,138,1190730.84,42967.56,1233698.4,3989,309.200426,309.275107
2024-09,常州市,1618,68,521120.5,26056.32,547176.82,1686,322.076947,324.541412
2024-09,徐州市,163,4,49605.5,1744,51349.5,167,304.328221,307.482036
2024-09,无锡市,1147,26,346147.16,7848.32,353995.48,1173,301.784795,301.786428
2024-09,武汉市,1605,294,474238.53,120772.68,595011.21,1899,295.47572,313.328705
2024-09,温州市,220,7,69773,2616,72389,227,317.15,318.894273
2024-09,芜湖市,114,0,35164,0,35164,114,308.45614,308.45614
2024-09,苏州市,488,9,180441,3924,184365,497,369.756148,370.955734
2024-09,金华市,372,13,105115.91,4256.12,109372.03,385,282.569651,284.083195
2024-10,南京市,468,28,134911.85,7307.44,142219.29,496,288.273184,286.73244
2024-10,南通市,694,42,216400.13,16568.16,232968.29,736,311.815749,316.533003
2024-10,合肥市,754,40,196797.06,14824.24,211621.3,794,261.004058,266.525567
2024-10,宁波市,3733,182,1157346.94,61477.64,1218824.58,3915,310.031326,311.321732
2024-10,常州市,1752,129,557514.52,44369.08,601883.6,1881,318.21605,319.980649
2024-10,徐州市,195,1,57468.83,436,57904.83,196,294.711949,295.432806
2024-10,无锡市,1171,43,350635.49,14388.4,365023.89,1214,299.432528,300.678657
2024-10,武汉市,1737,294,496343.76,118156.92,614500.68,2031,285.747703,302.56065
